Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Chronicles of Riddick: Escape from Butcher Bay,XB,,Shooter,Vivendi Games,0.32,0.11,0.0,0.02,0.45,89.0,84.0,8.9,85.0,Starbreeze,M
Maze Craze: A Game of Cops 'n Robbers,2600,,Action,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,
Silent Hill: Homecoming,X360,,Action,Konami Digital Entertainment,0.25,0.15,0.0,0.04,0.45,70.0,54.0,6.9,180.0,Double Helix Games,M
Super Breakout,2600,,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44,,,,,,
Robert Ludlum's The Bourne Conspiracy,X360,,Action,Vivendi Games,0.26,0.13,0.0,0.04,0.44,71.0,72.0,7.2,63.0,High Moon Studios,T
The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.31,0.11,0.0,0.01,0.43,,,,,,
The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.3,0.11,0.0,0.01,0.42,,,,,,
NHL Slapshot,Wii,,Sports,,0.39,0.0,0.0,0.02,0.42,76.0,25.0,8.1,7.0,EA Sports,E
TERA,PC,,Role-Playing,,0.25,0.12,0.0,0.05,0.42,77.0,41.0,6.8,742.0,Bluehole Studio,M
NFL GameDay 2003,PS2,,Sports,,0.2,0.15,0.0,0.05,0.4,60.0,23.0,tbd,,989 Sports,E
LEGO Harry Potter: Years 5-7,3DS,,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.03,0.4,71.0,7.0,6.5,11.0,Traveller's Tales,E10+
Harvest Moon: Save the Homeland,PS2,,Simulation,,0.19,0.15,0.0,0.05,0.4,76.0,14.0,8.8,72.0,Victor Interactive Software,E
Robert Ludlum's The Bourne Conspiracy,PS3,,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39,70.0,47.0,7.6,43.0,High Moon Studios,T
Silent Hill: Homecoming,PS3,,Action,Konami Digital Entertainment,0.18,0.14,0.0,0.06,0.38,71.0,41.0,6.9,143.0,Double Helix Games,M
Hangman,2600,,Puzzle,Atari,0.35,0.02,0.0,0.0,0.38,,,,,,
The Golden Compass,PSP,,Action,Sega,0.11,0.16,0.0,0.1,0.37,28.0,4.0,4.1,7.0,Shiny Entertainment,E10+
NBA Live 2003,XB,,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36,82.0,17.0,8.8,6.0,EA Canada,E
Cubix Robots for Everyone: Clash 'n' Bash,GBA,,Action,,0.26,0.1,0.0,0.01,0.36,,,,,,
